,gp_year,gp_name,gp_round,driver_name,rookie_or_experienced,laptime_std,laptime_std_ms
162,2019,Austrian Grand Prix,9,Robert Kubica,experienced,00:00.860,860.3488955739839
163,2019,Azerbaijan Grand Prix,4,George Russell,rookie,00:01.978,1978.8811607876041
164,2019,Azerbaijan Grand Prix,4,Robert Kubica,experienced,00:01.967,1967.6513499587393
165,2019,Bahrain Grand Prix,2,George Russell,rookie,00:01.407,1407.538836380144
166,2019,Bahrain Grand Prix,2,Robert Kubica,experienced,00:01.443,1443.4687273497561
167,2019,Belgian Grand Prix,13,George Russell,rookie,00:01.710,1710.7003088053016
168,2019,Belgian Grand Prix,13,Robert Kubica,experienced,00:01.587,1587.626796495394
169,2019,Brazilian Grand Prix,20,George Russell,rookie,00:01.215,1215.6760259213922
170,2019,Brazilian Grand Prix,20,Robert Kubica,experienced,00:00.975,975.9960080821041
171,2019,British Grand Prix,10,George Russell,rookie,00:01.061,1061.8129706031432
172,2019,British Grand Prix,10,Robert Kubica,experienced,00:01.062,1062.7805543776462
173,2019,Canadian Grand Prix,7,George Russell,rookie,00:01.321,1321.0019060032926
174,2019,Canadian Grand Prix,7,Robert Kubica,experienced,00:01.293,1293.2077004607413
175,2019,Chinese Grand Prix,3,George Russell,rookie,00:01.502,1502.1428393111935
176,2019,Chinese Grand Prix,3,Robert Kubica,experienced,00:01.316,1316.7265516289722
177,2019,French Grand Prix,8,George Russell,rookie,00:01.622,1622.2963793684853
178,2019,French Grand Prix,8,Robert Kubica,experienced,00:01.400,1400.894553205957
179,2019,German Grand Prix,11,George Russell,rookie,00:07.271,7271.62915075415
180,2019,German Grand Prix,11,Robert Kubica,experienced,00:07.118,7118.726225731896
181,2019,Hungarian Grand Prix,12,George Russell,rookie,00:01.206,1206.4195859026086
182,2019,Hungarian Grand Prix,12,Robert Kubica,experienced,00:01.034,1034.7174206637285
183,2019,Italian Grand Prix,14,George Russell,rookie,00:01.451,1451.1850232245326
184,2019,Italian Grand Prix,14,Robert Kubica,experienced,00:01.172,1172.366445625389
185,2019,Japanese Grand Prix,17,George Russell,rookie,00:01.239,1239.6395479237494
186,2019,Japanese Grand Prix,17,Robert Kubica,experienced,00:01.557,1557.3061729116491
187,2019,Mexican Grand Prix,18,George Russell,rookie,00:01.273,1273.5589148355532
188,2019,Mexican Grand Prix,18,Robert Kubica,experienced,00:01.418,1418.3396268578908
189,2019,Monaco Grand Prix,6,George Russell,rookie,00:01.430,1430.257036676755
190,2019,Monaco Grand Prix,6,Robert Kubica,experienced,00:01.190,1190.7946889981313
191,2019,Russian Grand Prix,16,George Russell,rookie,00:00.759,759.5337086301408
192,2019,Russian Grand Prix,16,Robert Kubica,experienced,00:00.977,977.6048855508938
193,2019,Singapore Grand Prix,15,George Russell,rookie,00:00.642,642.8963248268007
194,2019,Singapore Grand Prix,15,Robert Kubica,experienced,00:02.274,2274.4239662722
195,2019,Spanish Grand Prix,5,George Russell,rookie,00:01.670,1670.7811393430331
196,2019,Spanish Grand Prix,5,Robert Kubica,experienced,00:01.526,1526.991133595054
197,2019,United States Grand Prix,19,George Russell,rookie,00:01.543,1543.624866040587
198,2019,United States Grand Prix,19,Robert Kubica,experienced,00:01.250,1250.126790613992
